id,kind,record,reason,status
P5-SEO-5bee29a7,seo,/education/1-year-of-ai-in-the-classroom,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-03bc575d,seo,/education/ai-adventure,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-bfb03b6f,seo,/education/ai-amp-art-wat-als-van-eyck-mijn-selfie-schilderde-6n5l5,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-f3335bfa,seo,/education/ai-and-greek-epigraphy-with-a-robot,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-5b9e2850,seo,/education/ai-art-beethovenai-cahsr,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-e39243dd,seo,/education/ai-art-ontketen-jouw-lyrische-picasso-dyj8h,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-e06c15dd,seo,/education/ai-art-thanos-snap-photobomb-begone,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-87e93507,seo,/education/ai-as-matchmaker,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-2413db2a,seo,/education/ai-assessment-scale,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-43338aa3,seo,/education/ai-design-aikea,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-cc202830,seo,/education/ai-for-education-awards,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-48f722cc,seo,/education/ai-greek-epigraphy-poetry-and-ai-with-pythia,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-cf09d985,seo,/education/ai-in-the-classroom,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-ac67b6bf,seo,/education/ai-in-the-classroom-deepfaking-a-deputy-prime-minister,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-e71ab13d,seo,/education/ai-klassieke-talen-breng-de-romeinse-keizers-tot-leven-xyfsa,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-d3025745,seo,/education/ai-latin-bring-tacitus-to-life,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-865a72c0,seo,/education/ai-sport-inform,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-536ffc34,seo,/education/ai-taal-auteur-of-ai-teur-ef7mx,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-36324157,seo,/education/ai-wij-robots-herkennen-onze-emotie-smbe9,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-d55a1b1e,seo,/education/ai-wij-robots-herkennen-onze-wereld-bpsfs,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-a11a307d,seo,/education/bring-greek-myths-to-life,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-14f955d2,seo,/education/build-your-own-smart-trash-can,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-d1edf4d5,seo,/education/chatgpt-in-the-classroom,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-8fd53842,seo,/education/chimera,Source title or description is absent or exceeds the target SEO field limit.,pending
